File_name,Plate_in_file,row_A_antigen,row_B_antigen ,row_C_antigen,row_D_antigen,row_E_antigen,row_F_antigen,row_G_antigen,row_H_antigen,row_A_sample ,row_B_sample,row_C_sample ,row_D_sample,row_E_sample ,row_F_sample,row_G_sample ,row_H_sample,format,p24-file
2020-12-10_AC_IBD_4-plates_SET1-L149-L150-L224-L225.txt,1,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L149 ,L149 ,L149 ,L149 ,L149 ,L149 ,L149 ,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2020-12-10_AC_IBD_4-plates_SET1-L149-L150-L224-L225.txt,2,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L150,L150,L150,L150,L150,L150,L150,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2020-12-10_AC_IBD_4-plates_SET1-L149-L150-L224-L225.txt,3,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L224,L224,L224,L224,L224,L224,L224,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2020-12-10_AC_IBD_4-plates_SET1-L149-L150-L224-L225.txt,4,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L225,L225,L225,L225,L225,L225,L225,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-13-AC_IBD_Set1-L111-L112-L113-L114-L115-L116-L159-L160.txt,1,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L111,L111,L111,L111,L111,L111,L111,onesample-seventantigens-3rep,neg-pos-concentrations-3.txt
2021-01-13-AC_IBD_Set1-L111-L112-L113-L114-L115-L116-L159-L160.txt,2,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L112,L112,L112,L112,L112,L112,L112,onesample-seventantigens-3rep,neg-pos-concentrations-3.txt
2021-01-13-AC_IBD_Set1-L111-L112-L113-L114-L115-L116-L159-L160.txt,3,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L113,L113,L113,L113,L113,L113,L113,onesample-seventantigens-3rep,neg-pos-concentrations-3.txt
2021-01-13-AC_IBD_Set1-L111-L112-L113-L114-L115-L116-L159-L160.txt,4,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L114,L114,L114,L114,L114,L114,L114,onesample-seventantigens-3rep,neg-pos-concentrations-3.txt
2021-01-13-AC_IBD_Set1-L111-L112-L113-L114-L115-L116-L159-L160.txt,5,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L115,L115,L115,L115,L115,L115,L115,onesample-seventantigens-3rep,neg-pos-concentrations-3.txt
2021-01-13-AC_IBD_Set1-L111-L112-L113-L114-L115-L116-L159-L160.txt,6,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L116,L116,L116,L116,L116,L116,L116,onesample-seventantigens-3rep,neg-pos-concentrations-3.txt
2021-01-13-AC_IBD_Set1-L111-L112-L113-L114-L115-L116-L159-L160.txt,7,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L159,L159,L159,L159,L159,L159,L159,onesample-seventantigens-3rep,neg-pos-concentrations-3.txt
2021-01-13-AC_IBD_Set1-L111-L112-L113-L114-L115-L116-L159-L160.txt,8,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L160,L160,L160,L160,L160,L160,L160,onesample-seventantigens-3rep,neg-pos-concentrations-3.txt
2021-01-14_YH_IBD_8-plates_SET1-L181 TO L188.txt,1,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L181,L181,L181,L181,L181,L181,L181,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-14_YH_IBD_8-plates_SET1-L181 TO L188.txt,2,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L182,L182,L182,L182,L182,L182,L182,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-14_YH_IBD_8-plates_SET1-L181 TO L188.txt,3,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L183,L183,L183,L183,L183,L183,L183,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-14_YH_IBD_8-plates_SET1-L181 TO L188.txt,4,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L184,L184,L184,L184,L184,L184,L184,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-14_YH_IBD_8-plates_SET1-L181 TO L188.txt,5,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L185,L185,L185,L185,L185,L185,L185,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-14_YH_IBD_8-plates_SET1-L181 TO L188.txt,6,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L186,L186,L186,L186,L186,L186,L186,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-14_YH_IBD_8-plates_SET1-L181 TO L188.txt,7,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L187,L187,L187,L187,L187,L187,L187,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-14_YH_IBD_8-plates_SET1-L181 TO L188.txt,8,p24-standard,HIV-p24,TTV-16,TTMV-2,Norovirus,Sapovirus,Enterovirus A,Enterovirus B ,BB-POS,L188,L188,L188,L188,L188,L188,L188,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-20_YH_IBD_8-plates_NEW SET2-L181 TO L188.txt,1,p24-standard,Brisavirus,Vientovirus,Adenovirus Type 5,Adenovirus B,Influenza Virus A,Influenza Virus B,Coxsackie A21,BB-POS,L181,L181,L181,L181,L181,L181,L181,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-20_YH_IBD_8-plates_NEW SET2-L181 TO L188.txt,2,p24-standard,Brisavirus,Vientovirus,Adenovirus Type 5,Adenovirus B,Influenza Virus A,Influenza Virus B,Coxsackie A21,BB-POS,L182,L182,L182,L182,L182,L182,L182,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-20_YH_IBD_8-plates_NEW SET2-L181 TO L188.txt,3,p24-standard,Brisavirus,Vientovirus,Adenovirus Type 5,Adenovirus B,Influenza Virus A,Influenza Virus B,Coxsackie A21,BB-POS,L183,L183,L183,L183,L183,L183,L183,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-20_YH_IBD_8-plates_NEW SET2-L181 TO L188.txt,4,p24-standard,Brisavirus,Vientovirus,Adenovirus Type 5,Adenovirus B,Influenza Virus A,Influenza Virus B,Coxsackie A21,BB-POS,L184,L184,L184,L184,L184,L184,L184,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-20_YH_IBD_8-plates_NEW SET2-L181 TO L188.txt,5,p24-standard,Brisavirus,Vientovirus,Adenovirus Type 5,Adenovirus B,Influenza Virus A,Influenza Virus B,Coxsackie A21,BB-POS,L185,L185,L185,L185,L185,L185,L185,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-20_YH_IBD_8-plates_NEW SET2-L181 TO L188.txt,6,p24-standard,Brisavirus,Vientovirus,Adenovirus Type 5,Adenovirus B,Influenza Virus A,Influenza Virus B,Coxsackie A21,BB-POS,L186,L186,L186,L186,L186,L186,L186,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2021-01-20_YH_IBD_8-plates_NEW SET2-L181 TO L188.txt,7,p24-standard,Brisavirus,Vientovirus,Adenovirus Type 5,Adenovirus B,Influenza Virus A,Influenza Virus B,Coxsackie A21,BB-POS,L187,L187,L187,L187,L187,L187,L187,onesample-seventantigens-3rep,neg-pos-concentrations.txt
